County,DwellingTypeDescr,AgeBand,CO2_decile,N
Galway,Semi-detached house,J,"(4.78e+03,5.57e+03]",16
Dublin,Semi-detached house,J,"(2.5e+03,3.1e+03]",16
Laois,Semi-detached house,J,"(2.5e+03,3.1e+03]",16
Kildare,Semi-detached house,J,"(3.65e+03,4.22e+03]",16
Meath,Semi-detached house,J,"(3.1e+03,3.65e+03]",16
Kildare,Semi-detached house,H,"(5.57e+03,6.56e+03]",16
Mayo,Semi-detached house,I,"(4.22e+03,4.78e+03]",16
Tipperary,Semi-detached house,J,"(4.78e+03,5.57e+03]",16
Mayo,Semi-detached house,J,"(4.78e+03,5.57e+03]",16
Louth,Semi-detached house,H,"(3.65e+03,4.22e+03]",16
Louth,Semi-detached house,I,"(3.1e+03,3.65e+03]",16
Wexford,Semi-detached house,H,"(5.57e+03,6.56e+03]",16
Donegal,Semi-detached house,I,"(4.78e+03,5.57e+03]",16
Kildare,Semi-detached house,I,"(4.78e+03,5.57e+03]",16
Cavan,Detached house,J,"(5.57e+03,6.56e+03]",16
Clare,Detached house,J,"(6.56e+03,7.83e+03]",16
Dublin,Detached house,G,"(9.82e+03,3.55e+04]",16
Meath,Mid-terrace house,I,"(3.1e+03,3.65e+03]",16
Dublin,Mid-terrace house,J,"(3.1e+03,3.65e+03]",16
Dublin,Mid-terrace house,H,"[324,2.5e+03]",16
Dublin,Mid-terrace house,I,"[324,2.5e+03]",16
Limerick,Detached house,G,"(7.83e+03,9.82e+03]",15
Wicklow,Detached house,E,"(9.82e+03,3.55e+04]",15
Limerick,Detached house,E,"(7.83e+03,9.82e+03]",15
Tipperary,Semi-detached house,I,"(3.65e+03,4.22e+03]",15
Waterford,Semi-detached house,H,"(3.65e+03,4.22e+03]",15
Westmeath,Detached house,I,"(7.83e+03,9.82e+03]",15
Kildare,Detached house,H,"(7.83e+03,9.82e+03]",15
Kilkenny,Detached house,I,"(7.83e+03,9.82e+03]",15
Donegal,Detached house,G,"(7.83e+03,9.82e+03]",15
Wexford,Detached house,I,"(5.57e+03,6.56e+03]",15
Cork,Detached house,J,"(4.22e+03,4.78e+03]",15
Cork,Detached house,F,"(9.82e+03,3.55e+04]",15
Meath,Detached house,H,"(6.56e+03,7.83e+03]",15
Kildare,Detached house,J,"(5.57e+03,6.56e+03]",15
Galway,Detached house,J,"(4.78e+03,5.57e+03]",15
Dublin,Ground-floor apartment,J,"(3.65e+03,4.22e+03]",15
Dublin,Mid-terrace house,D,"(4.22e+03,4.78e+03]",15
Dublin,Mid-terrace house,E,"(3.1e+03,3.65e+03]",15
Cavan,Semi-detached house,J,"(3.1e+03,3.65e+03]",15
Cork,Detached house,J,"(3.65e+03,4.22e+03]",15
Galway,Mid-terrace house,J,"(3.1e+03,3.65e+03]",15
Cavan,Semi-detached house,I,"(4.78e+03,5.57e+03]",15
Limerick,Semi-detached house,G,"(4.78e+03,5.57e+03]",15
Waterford,Semi-detached house,I,"(3.1e+03,3.65e+03]",15
Cork,Semi-detached house,H,"(2.5e+03,3.1e+03]",15
Dublin,Semi-detached house,I,"(2.5e+03,3.1e+03]",15
Galway,Semi-detached house,J,"(4.22e+03,4.78e+03]",15
Galway,Semi-detached house,H,"(4.78e+03,5.57e+03]",15
Clare,Semi-detached house,I,"(5.57e+03,6.56e+03]",15
Cork,Semi-detached house,H,"(4.78e+03,5.57e+03]",15
Limerick,Semi-detached house,J,"(3.65e+03,4.22e+03]",15
Meath,Semi-detached house,I,"(2.5e+03,3.1e+03]",15
Dublin,End of terrace house,I,"(4.22e+03,4.78e+03]",15
